Start Time, 2021-04-18 - 17:50:10
Sample Rate,10
Operation Mode,1
Target Depth [m],0.42
Target Height [m],99.0
Roll Kp,1.0
Roll Ki,0.0
Roll Kd,0.0
Height Kp,1.0
Height Ki,0.0
Height Kd,0.0
Depth Kp,1.0
Depth Ki,0.0
Depth Kd,0.0
Adaptive Depth Kp,1.0
Adaptive Depth Ki,0.0
Adaptive Depth Kd,0.0
Camera Mode,0
Photo Frequency [ms],0
 
 #######DATA######## 

Elapsed Time [s],Height [m],Height Error [m],Depth [m],Depth Error [m],Pressure [kPa],Temperature [C],Yaw [deg],Pitch [deg], Roll [deg], Battery Voltage [V],Battery Current [A],height out, roll out, state
0.05208281599698239,
0.14453034499820205,
0.23834427799738478,10
0.3314808159993845,1
0.4238763659996039,0.42
0.5160226459993282,99.00
0.6082214259986358,1.00
0.7003983829999925,0.00
0.7925757039993186,0.00
0.8847862019974855,1.00
0.976889981997374,0.00
1.0689247519985656,0.00
1.1610229069992783,1.00
1.2530696039975737,0.00
1.3451028629970097,0.00
1.4413827799980936,0.46,98.54,0.41,0.01,10526.00,27.39,331.00,-2.81,-23.87,3.72,35.28,0.00,0.00,1
1.5405201920002582,0.46,98.54,0.41,0.01,10528.00,27.47,331.00,-2.81,-23.81,3.51,35.28,0.00,0.00,1
1.6394934899981308,0.46,98.54,0.41,0.01,10527.00,27.47,331.00,-2.81,-23.81,3.79,35.28,0.00,0.00,1
1.73763777899876,0.46,98.54,0.41,0.01,10527.00,27.51,331.00,-2.81,-23.75,3.44,35.53,0.00,0.00,1
1.8363605049999023,0.46,98.54,0.40,0.02,10524.00,27.53,331.00,-2.75,-23.87,3.54,34.15,0.00,0.00,1
1.934304220998456,0.46,98.54,0.41,0.01,10531.00,27.54,331.00,-2.75,-23.69,3.86,35.28,0.00,0.00,1
2.03296054099701,0.46,98.54,0.41,0.01,10528.00,27.55,331.00,-2.75,-23.81,3.54,35.41,0.00,0.00,1
2.1311435269999492,0.46,98.54,0.40,0.02,10524.00,27.56,331.00,-2.75,-23.75,3.97,34.91,0.00,0.00,1
2.229058859000361,0.46,98.54,0.40,0.02,10523.00,27.54,331.00,-2.75,-23.69,3.47,35.28,0.00,0.00,1
2.327014397997118,0.46,98.54,0.41,0.01,10527.00,27.51,331.00,-2.75,-23.69,3.72,35.78,0.00,0.00,1
2.427655244999187,0.46,98.54,0.40,0.02,10522.00,27.54,331.00,-2.75,-23.75,4.01,35.28,0.00,0.00,1
2.5245249010004045,0.46,98.54,0.40,0.02,10521.00,27.56,331.00,-2.75,-23.69,3.54,35.41,0.00,0.00,1
2.6215974209990236,0.46,98.54,0.40,0.02,10524.00,27.56,331.00,-2.75,-23.69,3.47,35.41,0.00,0.00,1
2.7182577019993914,0.46,98.54,0.40,0.02,10525.00,27.56,331.00,-2.75,-23.69,3.69,35.78,0.00,0.00,1
2.8148166299979493,0.46,98.54,0.41,0.01,10526.00,27.57,331.00,-2.75,-23.69,3.69,35.28,0.00,0.00,1
2.9114544119984203,0.46,98.54,0.40,0.02,10525.00,27.55,331.00,-2.75,-23.69,4.11,35.28,0.00,0.00,1
3.0079428699973505,0.46,98.54,0.41,0.01,10526.00,27.52,331.00,-2.75,-23.69,4.01,35.16,0.00,0.00,1
3.1044493499975943,0.46,98.54,0.40,0.02,10525.00,27.55,331.00,-2.75,-23.69,3.90,35.28,0.00,0.00,1
3.202598066000064,0.46,98.54,0.41,0.01,10531.00,27.56,331.00,-2.75,-23.62,3.58,35.16,0.00,0.00,1
3.3019350609974936,0.46,98.54,0.41,0.01,10528.00,27.57,331.00,-2.75,-23.62,3.72,35.53,0.00,0.00,1
3.4010863799994695,0.46,98.54,0.41,0.01,10531.00,27.57,331.00,-2.75,-23.69,3.58,35.41,0.00,0.00,1
3.500378478998755,0.46,98.54,0.40,0.02,10524.00,27.58,331.00,-2.69,-23.62,2.38,35.16,0.00,0.00,1
3.599958650996996,0.46,98.54,0.41,0.01,10526.00,27.56,331.00,-2.69,-23.62,3.51,35.28,0.00,0.00,1
3.6982735639976454,0.46,98.54,0.40,0.02,10521.00,27.53,331.00,-2.69,-23.62,3.69,36.28,0.00,0.00,1
3.7974320699977397,0.46,98.54,0.41,0.01,10530.00,27.56,331.00,-2.69,-23.69,3.65,35.78,0.00,0.00,1
3.8972042729983514,0.46,98.54,0.41,0.01,10530.00,27.57,331.00,-2.69,-23.56,3.37,35.28,0.00,0.00,1
3.996307257999433,0.46,98.54,0.41,0.01,10526.00,27.57,331.00,-2.69,-23.69,3.93,35.28,0.00,0.00,1
4.095523002997652,0.46,98.54,0.41,0.01,10527.00,27.57,331.00,-2.69,-23.62,3.58,35.28,0.00,0.00,1
4.194832289998885,0.46,98.54,0.40,0.02,10523.00,27.58,331.00,-2.69,-23.62,4.15,35.28,0.00,0.00,1
4.293293921997247,0.46,98.54,0.41,0.01,10529.00,27.57,331.00,-2.69,-23.69,3.86,34.91,0.00,0.00,1
4.392485552998551,0.46,98.54,0.41,0.01,10526.00,27.53,331.00,-2.69,-23.69,4.15,35.28,0.00,0.00,1
4.49176437099959,0.46,98.54,0.40,0.02,10524.00,27.56,331.00,-2.69,-23.62,3.93,35.16,0.00,0.00,1
4.591134021997277,0.46,98.54,0.40,0.02,10524.00,27.57,331.00,-2.69,-23.69,3.83,35.41,0.00,0.00,1
4.691751119000401,0.46,98.54,0.41,0.01,10528.00,27.58,331.00,-2.69,-23.62,3.58,35.53,0.00,0.00,1
4.79231462199823,0.46,98.54,0.40,0.02,10523.00,27.58,331.00,-2.69,-23.75,3.97,36.54,0.00,0.00,1
4.89148698200006,0.46,98.54,0.41,0.01,10527.00,27.58,331.00,-2.69,-23.69,3.79,35.78,0.00,0.00,1
4.991238090999104,0.46,98.54,0.40,0.02,10524.00,27.57,331.00,-2.69,-23.69,3.51,35.28,0.00,0.00,1
5.0891124839981785,0.46,98.54,0.40,0.02,10524.00,27.53,331.00,-2.69,-23.75,3.69,34.41,0.00,0.00,1
5.188134479998553,0.46,98.54,0.40,0.02,10523.00,27.57,331.00,-2.69,-23.75,3.54,35.28,0.00,0.00,1
5.287162412998441,0.46,98.54,0.40,0.02,10525.00,27.57,331.00,-2.69,-23.75,3.54,35.16,0.00,0.00,1
5.386482742000226,0.46,98.54,0.41,0.01,10527.00,27.58,331.00,-2.69,-23.81,3.72,35.16,0.00,0.00,1
5.485735725997074,0.46,98.54,0.40,0.02,10525.00,27.58,331.00,-2.69,-23.69,4.36,35.28,0.00,0.00,1
5.58424725399891,0.46,98.54,0.41,0.01,10527.00,27.58,331.00,-2.69,-23.81,3.76,35.53,0.00,0.00,1
5.683722060999571,0.46,98.54,0.41,0.01,10529.00,27.57,331.00,-2.69,-23.81,3.58,35.28,0.00,0.00,1
5.782874368997,0.46,98.54,0.41,0.01,10530.00,27.54,331.00,-2.69,-23.81,3.72,35.16,0.00,0.00,1
5.882480321997718,0.46,98.54,0.41,0.01,10527.00,27.57,331.00,-2.69,-23.69,3.47,35.41,0.00,0.00,1
5.981858358998579,0.46,98.54,0.41,0.01,10530.00,27.58,331.00,-2.69,-23.81,3.54,35.28,0.00,0.00,1
6.081165198000235,0.46,98.54,0.41,0.01,10533.00,27.58,331.00,-2.69,-23.69,3.69,35.53,0.00,0.00,1
6.180390838999301,0.46,98.54,0.41,0.01,10526.00,27.58,331.00,-2.69,-23.75,3.51,35.41,0.00,0.00,1
6.279558406997239,0.46,98.54,0.40,0.02,10523.00,27.59,331.00,-2.69,-23.69,3.79,35.03,0.00,0.00,1
6.378695506999065,0.46,98.54,0.41,0.01,10528.00,27.57,331.00,-2.69,-23.75,3.97,35.53,0.00,0.00,1
6.477941199998895,0.46,98.54,0.40,0.02,10524.00,27.54,331.00,-2.69,-23.69,3.65,35.66,0.00,0.00,1
6.577385278000293,0.46,98.54,0.41,0.01,10527.00,27.57,331.00,-2.69,-23.69,3.83,35.28,0.00,0.00,1
6.676824147998559,0.46,98.54,0.40,0.02,10525.00,27.58,331.00,-2.69,-23.69,4.25,35.41,0.00,0.00,1
6.7762101009975595,0.46,98.54,0.41,0.01,10528.00,27.59,331.00,-2.69,-23.69,3.47,35.28,0.00,0.00,1
6.875777408000431,0.46,98.54,0.40,0.02,10525.00,27.58,331.00,-2.69,-23.62,3.97,35.16,0.00,0.00,1
6.974442790000467,0.46,98.54,0.41,0.01,10528.00,27.59,331.00,-2.69,-23.75,3.58,35.28,0.00,0.00,1
7.071580674997676,0.46,98.54,0.41,0.01,10528.00,27.58,331.00,-2.69,-23.62,3.76,35.28,0.00,0.00,1
7.168676059998688,0.46,98.54,0.40,0.02,10525.00,27.54,331.00,-2.69,-23.69,3.47,35.28,0.00,0.00,1
7.2661163919983665,0.46,98.54,0.41,0.01,10530.00,27.57,331.00,-2.69,-23.69,3.76,35.16,0.00,0.00,1
7.36278141299772,0.46,98.54,0.41,0.01,10528.00,27.58,331.00,-2.69,-23.69,3.40,35.41,0.00,0.00,1
7.459467892000248,0.46,98.54,0.40,0.02,10525.00,27.59,331.00,-2.69,-23.69,3.51,35.41,0.00,0.00,1
7.556138329997339,0.46,98.54,0.40,0.02,10525.00,27.58,331.00,-2.69,-23.69,3.76,35.53,0.00,0.00,1
7.652654341000016,0.46,98.54,0.41,0.01,10529.00,27.59,331.00,-2.69,-23.75,3.79,35.03,0.00,0.00,1
7.751528523996967,0.46,98.54,0.41,0.01,10526.00,27.58,331.00,-2.69,-23.69,3.72,35.91,0.00,0.00,1
7.849892447997263,0.46,98.54,0.41,0.01,10528.00,27.54,331.00,-2.69,-23.69,3.83,35.16,0.00,0.00,1
7.948921788000007,0.46,98.54,0.41,0.01,10529.00,27.57,331.00,-2.69,-23.75,3.72,35.16,0.00,0.00,1
8.048208625998086,0.46,98.54,0.40,0.02,10524.00,27.58,331.00,-2.69,-23.75,3.65,35.03,0.00,0.00,1
8.147416767998948,0.46,98.54,0.41,0.01,10528.00,27.59,331.00,-2.69,-23.69,3.51,35.66,0.00,0.00,1
8.245597670997086,0.46,98.54,0.41,0.01,10528.00,27.59,331.00,-2.69,-23.87,3.69,35.41,0.00,0.00,1
8.343943365998712,0.46,98.54,0.41,0.01,10528.00,27.59,331.00,-2.69,-23.62,3.69,35.41,0.00,0.00,1
8.443303693999042,0.46,98.54,0.41,0.01,10526.00,27.58,331.00,-2.69,-23.94,3.93,36.03,0.00,0.00,1
8.542808397000044,0.46,98.54,0.41,0.01,10526.00,27.54,331.00,-2.69,-23.81,4.01,35.03,0.00,0.00,1
8.642767682998965,0.46,98.54,0.41,0.01,10527.00,27.57,331.00,-2.69,-23.69,3.86,35.28,0.00,0.00,1
8.741586345997348,0.46,98.54,0.41,0.01,10529.00,27.58,331.00,-2.69,-23.87,4.08,35.16,0.00,0.00,1
8.840815944997303,0.46,98.54,0.40,0.02,10524.00,27.59,331.00,-2.69,-23.75,3.65,35.16,0.00,0.00,1
8.939960960997269,0.46,98.54,0.40,0.02,10525.00,27.59,331.00,-2.69,-23.87,3.90,35.28,0.00,0.00,1
9.039006341998174,0.46,98.54,0.40,0.02,10523.00,27.59,331.00,-2.69,-23.75,3.76,35.28,0.00,0.00,1
9.14585165599783,0.46,98.54,0.41,0.01,10526.00,27.58,331.00,-2.69,-23.69,3.44,35.28,0.00,0.00,1
9.248606404999009,0.46,98.54,0.41,0.01,10526.00,27.54,331.00,-2.69,-23.69,3.72,35.16,0.00,0.00,1
9.350288030997035,0.46,98.54,0.41,0.01,10526.00,27.57,331.00,-2.69,-23.87,3.51,35.78,0.00,0.00,1
9.456617511998047,0.48,98.52,0.41,0.01,10527.00,27.58,331.00,-2.69,-23.69,3.54,35.53,0.00,0.00,1
9.563223138997273,0.48,98.52,0.40,0.02,10523.00,27.59,331.00,-2.69,-23.75,3.65,36.03,0.00,0.00,1
9.666065023000556,0.48,98.52,0.40,0.02,10524.00,27.59,331.00,-2.69,-23.81,3.65,35.91,0.00,0.00,1
9.784983646997716,0.48,98.52,0.41,0.01,10529.00,27.59,331.00,-2.69,-23.69,3.58,35.41,0.00,0.00,1
9.940296523000143,0.48,98.52,0.40,0.02,10522.00,27.58,331.00,-2.69,-23.62,3.86,35.28,0.00,0.00,1
10.043019188997278,0.48,98.52,0.41,0.01,10526.00,27.54,331.00,-2.69,-23.75,3.72,34.91,0.00,0.00,1
10.144900658000552,0.48,98.52,0.41,0.01,10528.00,27.57,331.00,-2.69,-23.69,3.90,35.53,0.00,0.00,1
10.247899209000025,0.48,98.52,0.41,0.01,10529.00,27.59,331.00,-2.69,-23.62,3.79,35.28,0.00,0.00,1
10.35788587099887,0.48,98.52,0.41,0.01,10531.00,27.59,331.00,-2.69,-23.81,3.51,35.41,0.00,0.00,1
10.46078468199994,0.48,98.52,0.41,0.01,10526.00,27.59,331.00,-2.69,-23.69,3.69,35.66,0.00,0.00,1
10.578803879998304,0.48,98.52,0.41,0.01,10528.00,27.60,331.00,-2.69,-23.69,3.62,35.41,0.00,0.00,1
10.730526085997553,0.48,98.52,0.41,0.01,10530.00,27.58,331.00,-2.69,-23.81,3.79,35.16,0.00,0.00,1
10.837064993997046,0.48,98.52,0.40,0.02,10525.00,27.55,331.00,-2.69,-23.62,3.93,35.16,0.00,0.00,1
10.94018271099776,0.48,98.52,0.40,0.02,10525.00,27.58,331.00,-2.69,-23.69,3.51,35.28,0.00,0.00,1
11.041894024998328,0.49,98.51,0.41,0.01,10527.00,27.58,331.00,-2.63,-23.75,3.51,35.41,0.00,0.00,1
11.148715223996987,0.49,98.51,0.41,0.01,10526.00,27.59,331.00,-2.63,-23.62,3.72,35.66,0.00,0.00,1
11.255738558000303,0.49,98.51,0.41,0.01,10529.00,27.59,331.00,-2.63,-23.75,3.54,35.28,0.00,0.00,1
11.374186818000453,0.49,98.51,0.41,0.01,10528.00,27.60,331.00,-2.69,-23.62,3.65,36.03,0.00,0.00,1
11.525754284997674,0.49,98.51,0.41,0.01,10526.00,27.58,331.00,-2.63,-23.56,3.54,35.16,0.00,0.00,1
11.627574139998615,0.49,98.51,0.41,0.01,10528.00,27.54,331.00,-2.63,-23.69,3.72,35.41,0.00,0.00,1
11.73365664299854,0.49,98.51,0.41,0.01,10527.00,27.57,331.00,-2.69,-23.62,3.90,35.16,0.00,0.00,1
11.836705713998526,0.49,98.51,0.40,0.02,10524.00,27.58,331.00,-2.63,-23.56,3.76,35.03,0.00,0.00,1
11.943279569997685,0.49,98.51,0.41,0.01,10527.00,27.59,331.00,-2.63,-23.62,3.69,35.41,0.00,0.00,1
12.050366236999253,0.49,98.51,0.41,0.01,10528.00,27.59,331.00,-2.63,-23.56,3.90,35.41,0.00,0.00,1
12.168905226997595,0.49,98.51,0.41,0.01,10527.00,27.59,331.00,-2.63,-23.56,3.76,35.28,0.00,0.00,1
12.320538265998039,0.49,98.51,0.41,0.01,10526.00,27.58,331.00,-2.63,-23.62,2.98,35.28,0.00,0.00,1
12.421961454998382,0.49,98.51,0.40,0.02,10524.00,27.54,331.00,-2.63,-23.62,3.58,35.03,0.00,0.00,1
12.528746403997502,0.49,98.51,0.41,0.01,10528.00,27.57,331.00,-2.63,-23.56,3.54,35.53,0.00,0.00,1
12.63145573699876,0.49,98.51,0.41,0.01,10530.00,27.58,331.00,-2.63,-23.56,3.58,35.28,0.00,0.00,1
12.737945425997168,0.49,98.51,0.41,0.01,10526.00,27.59,331.00,-2.63,-23.56,3.47,35.41,0.00,0.00,1
12.840816424999502,0.49,98.51,0.40,0.02,10524.00,27.59,331.00,-2.63,-23.62,3.65,35.28,0.00,0.00,1
12.963331134997134,0.49,98.51,0.40,0.02,10522.00,27.60,331.00,-2.63,-23.56,3.72,36.03,0.00,0.00,1
13.114917404000153,0.49,98.51,0.41,0.01,10527.00,27.58,331.00,-2.63,-23.62,3.51,35.28,0.00,0.00,1
13.216665227999329,0.49,98.51,0.40,0.02,10525.00,27.55,331.00,-2.63,-23.62,3.51,35.53,0.00,0.00,1
13.322772731000441,0.49,98.51,0.40,0.02,10525.00,27.58,331.00,-2.63,-23.62,3.72,34.91,0.00,0.00,1
13.425691020998784,0.49,98.51,0.40,0.02,10521.00,27.58,331.00,-2.63,-23.62,3.62,35.28,0.00,0.00,1
13.532324563999282,0.49,98.51,0.41,0.01,10529.00,27.59,331.00,-2.63,-23.62,3.51,35.66,0.00,0.00,1
13.638893993000238,0.49,98.51,0.41,0.01,10527.00,27.59,331.00,-2.63,-23.62,3.90,35.41,0.00,0.00,1
13.757896574999904,0.49,98.51,0.40,0.02,10525.00,27.60,331.00,-2.63,-23.62,3.54,35.53,0.00,0.00,1
13.909459874997992,0.49,98.51,0.41,0.01,10528.00,27.58,331.00,-2.63,-23.62,3.51,35.28,0.00,0.00,1
14.011229260999244,0.49,98.51,0.40,0.02,10524.00,27.54,331.00,-2.63,-23.62,3.72,35.16,0.00,0.00,1
14.117680981999001,0.49,98.51,0.41,0.01,10528.00,27.57,331.00,-2.63,-23.56,4.01,35.16,0.00,0.00,1
14.220441252000455,0.49,98.51,0.41,0.01,10528.00,27.58,331.00,-2.63,-23.62,3.58,35.16,0.00,0.00,1
14.331012495997129,0.49,98.51,0.40,0.02,10522.00,27.59,331.00,-2.63,-23.56,3.51,35.53,0.00,0.00,1
14.43382276599732,0.49,98.51,0.40,0.02,10521.00,27.59,331.00,-2.63,-23.62,3.65,35.41,0.00,0.00,1
14.552725868998095,0.49,98.51,0.40,0.02,10519.00,27.59,331.00,-2.63,-23.62,3.62,35.41,0.00,0.00,1
14.70429338699978,0.47,98.53,0.41,0.01,10528.00,27.58,331.00,-2.63,-23.56,3.83,35.28,0.00,0.00,1
14.805823034999776,0.47,98.53,0.41,0.01,10528.00,27.55,331.00,-2.63,-23.62,3.86,36.28,0.00,0.00,1
14.91228110999873,0.47,98.53,0.41,0.01,10526.00,27.58,331.00,-2.63,-23.62,3.51,35.28,0.00,0.00,1
15.015027890000056,0.47,98.53,0.41,0.01,10527.00,27.59,331.00,-2.63,-23.62,3.69,35.41,0.00,0.00,1
15.125580122999963,0.47,98.53,0.41,0.01,10527.00,27.59,331.00,-2.63,-23.62,3.65,35.41,0.00,0.00,1
15.22851429900038,0.47,98.53,0.41,0.01,10527.00,27.59,331.00,-2.63,-23.69,4.01,35.41,0.00,0.00,1
15.346308497999416,0.47,98.53,0.41,0.01,10529.00,27.60,331.00,-2.63,-23.62,3.62,35.28,0.00,0.00,1
15.497876797999197,0.47,98.53,0.41,0.01,10529.00,27.58,331.00,-2.63,-23.62,3.54,35.78,0.00,0.00,1
15.600981858999148,0.47,98.53,0.41,0.01,10527.00,27.55,331.00,-2.63,-23.69,3.79,35.03,0.00,0.00,1
15.708009931997367,0.47,98.53,0.41,0.01,10528.00,27.58,331.00,-2.63,-23.69,3.65,32.28,0.00,0.00,1
15.810478223997052,0.47,98.53,0.41,0.01,10530.00,27.58,331.00,-2.63,-23.69,3.72,35.28,0.00,0.00,1
15.92034202099967,0.47,98.53,0.41,0.01,10529.00,27.59,331.00,-2.63,-23.69,3.58,35.41,0.00,0.00,1
16.023192081996967,0.47,98.53,0.41,0.01,10530.00,27.59,331.00,-2.63,-23.69,3.40,35.16,0.00,0.00,1
16.14208299799793,0.47,98.53,0.40,0.02,10524.00,27.60,331.00,-2.63,-23.69,3.69,35.41,0.00,0.00,1
16.29435082800046,0.46,98.54,0.40,0.02,10524.00,27.58,331.00,-2.63,-23.62,3.90,35.66,0.00,0.00,1
16.39882614599992,0.46,98.54,0.40,0.02,10525.00,27.55,331.00,-2.63,-23.62,4.22,35.03,0.00,0.00,1
16.501792352999473,0.46,98.54,0.41,0.01,10531.00,27.58,331.00,-2.63,-23.69,3.76,35.66,0.00,0.00,1
16.604806371997256,0.46,98.54,0.40,0.02,10525.00,27.58,331.00,-2.63,-23.69,3.54,35.16,0.00,0.00,1
